device_id,latitude,longitude,elevation,provider,global_group,available_RAM,unit_price_available_RAM,available_Storage,unit_price_available_Storage,available_vCPU,unit_price_available_vCPU,available_GPU,unit_price_available_GPU,available_TPU,unit_price_available_TPU
10000002,-28.77766,114.63426,,OPTUS,3,3,0.005,2,0.08,7,15.0,0,140.0,0,200.0
100001,-38.248652,144.605442,23.0,TELSTRA,1,3,1.3,1,1.1,7,15.0,0,120.0,0,200.0
10000114,-31.90191,152.53354,,OPTUS,1,4,1.0,2,0.9,1,15.0,0,120.0,0,200.0
100002,-37.72855,145.222007,116.0,OPTUS,1,2,1.0,1,0.9,2,15.0,0,120.0,0,200.0
10000215,-32.98157,121.6444,,TELSTRA,1,1,1.3,2,1.1,5,15.0,0,120.0,0,200.0
10000216,-35.02197,149.87236,,TELSTRA,1,3,1.3,2,1.1,2,15.0,0,120.0,0,200.0
10000264,-36.70694,144.31703,,TELSTRA,1,3,1.3,2,1.1,5,15.0,0,120.0,0,200.0
10000265,-24.182717,151.236237,,TELSTRA,1,4,1.3,2,1.1,8,15.0,0,120.0,0,200.0
10000272,-26.20426,152.44295,,TELSTRA,1,1,1.3,1,1.1,8,15.0,0,120.0,0,200.0
10000273,-27.78632,153.36421,,TELSTRA,1,3,1.3,2,1.1,1,15.0,0,120.0,0,200.0
10000274,-34.943738,138.588649,,TELSTRA,1,3,1.3,2,1.1,4,15.0,0,120.0,0,200.0
10000371,-26.63087,120.25151,,TELSTRA,1,1,1.3,2,1.1,3,15.0,0,120.0,0,200.0
10000377,-28.472028,153.518031,,OPTUS,1,2,1.0,2,0.9,2,15.0,0,120.0,0,200.0
10000385,-41.31553,147.37228,,TELSTRA,1,3,1.3,1,1.1,4,15.0,0,120.0,0,200.0
10000386,-41.38258,147.29978,,TELSTRA,1,1,1.3,1,1.1,5,15.0,0,120.0,0,200.0
10000387,-41.87357,146.82809,,TELSTRA,1,3,1.3,1,1.1,8,15.0,0,120.0,0,200.0
10000388,-43.24026,147.10193,,TELSTRA,1,1,1.3,1,1.1,5,15.0,0,120.0,0,200.0
10000396,-33.710091,151.295176,,OPTUS,1,4,1.0,1,0.9,5,15.0,0,120.0,0,200.0
10000399,-33.7101,151.29573,,OPTUS,1,1,1.0,2,0.9,2,15.0,0,120.0,0,200.0
10000422,-18.9991,144.98033,,TELSTRA,1,4,1.3,2,1.1,7,15.0,0,120.0,0,200.0
